ID,Bucket,Criterion,What pass requires,Notes,Conditional
P9,P — Pädagogik,Zeitplan ist realistisch,"Die Aufgaben in jeder Phase sind plausibel in den zugewiesenen Minuten von Schüler:innen dieser Schulstufe erfüllbar. Aufgaben in jeder Phase zählen und Minuten pro Aufgabe schätzen. Bestanden = der Arbeitsumfang jeder Phase passt zu ihrer Zeit. Nicht bestanden = eine Phase weist deutlich mehr Aufgaben auf als ihre Zeit erlaubt (z.B. 12 Aufgaben in einem 20-Minuten-Block, der auch Diskussion einschließt).",,
R1,R — Rigor,Anforderungsniveau bleibt erhalten,"Keine Stützung in der Unterrichtsstunde senkt die kognitiven Anforderungen unter das Niveau der Kompetenz. Stützungen bieten Zugang, ohne die Aufgabe zu vereinfachen. Bestanden = alle Schüler:innenaufgaben zielen auf die Komplexität der Kompetenz. Nicht bestanden = Aufgaben sind unter der Schulstufe vereinfacht, oder der schwierigste Teil der Kompetenz wird vermieden.",,
R2,R — Rigor,Mindestens eine Aufgabe verlangt Schüler:innen-Begründung,"Ein:e Schüler:in, der/die nur auswendig lernt oder Schritte befolgt, kann mindestens eine Aufgabe nicht lösen. Bestanden = eine oder mehrere Aufgaben erfordern Erklärung, Begründung, Vergleich oder Argumentation. Nicht bestanden = jede Aufgabe ist Abruf oder Verfahrensaufgabe mit einer einzigen richtigen Antwort.",,
R3,R — Rigor,Exit Ticket zielt auf den schwierigsten Fall ab,"Das Exit Ticket zielt auf die strukturell schwierigste Version der Kompetenz – nicht die einfachste. ZUERST den strukturell schwierigsten Fall selbst bestimmen (z.B. Start-Unbekannt bei Operations-Textaufgaben, Gegensatzbehandlung beim Argumentschreiben, Mechanismus-Ebene-Begründung für erklärende Modelle). DANN das Exit-Ticket-Task klassifizieren: zitieren und angeben, welcher Fall oder welche Anforderung es anspricht. Bestanden nur, wenn die beiden Klassifikationen übereinstimmen. Beide Klassifikationen in der Erklärung zeigen.",,
R4,R — Rigor,Schüler:innen-Agentur-Aufforderung auf Arbeitsblatt,"Das Schüler:innen-Arbeitsblatt selbst enthält mindestens eine Aufforderung, die Schüler:innen-Begründung oder Wahl einlädt: eine Selbstbewertungsfrage, eine Reflexionsaufforderung, eine offene Erweiterung oder eine ‚zeige/erkläre dein Denken'-Aufforderung angehängt an eine Aufgabe (diese zählen auch, wenn in Aufgabenelementen eingebettet). Lehrergeleitet-Diskussions-Aufforderungen im Stundenverlauf zählen NICHT. Nur die Schüler:innenmaterialien bewerten.",,
O2,O — Output / Formatierung,Schüler:innenmaterialien enthalten keinen Nur-Lehrer-Inhalt,"Schüler:innen-Materialien enthalten keinen Nur-Lehrer-Inhalt: keine Beobachtungspunkte, keine Missverständnis- oder Herausforderungs-Notizen, keine Bewertungsbegründung, keine Lösungsschlüssel, keine an Lehrkräfte gerichteten Anweisungen (‚die Lehrkraft platziert…', ‚herumlaufen und…'), keine an Lehrkräfte gerichteten Regieanweisungen (‚Zeige…', ‚Zeige…', ‚Lies laut…', ‚Verteile…'), und keine Ich-Erzählung von Schüler:innenaktivität (‚Schüler:innen arbeiten in Paaren…', ‚Schüler:innen verbinden die Laute…'). Stützung, die sich AN SCHÜLER:INNEN in der zweiten Person richtet (Hinweise, ‚Erinnere dich:'-Erinnerungen, Satzmuster, gelöste Beispiele), ist Schüler:inneninhalt und ist in Ordnung – keinesfalls failen. Nur die Schüler:innenmaterialien bewerten; Inhalt im Stundenverlauf oder Beobachtungsblatt ist irrelevant hier.",,
O3,O — Output / Formatierung,Beobachtungsvorlagen-Reihen sind im Feld nutzbar,"Reihen-Beschriftungen sind spezifische Schüler:innenverhalten nachverfolgbar zum Lernziel (‚Schüler:innen werden folgende Aufgaben erfolgreich erfüllen können') – nicht generische Phasennamen – und jede Reihe hat angemessenen Schreibplatz. Bestanden = verhaltens-spezifische Beschriftungen und ausreichend Schreibplatz durchgehend. Nicht bestanden = Reihen gekennzeichnet ‚Phase 1 / Phase 2', oder Tabelle ist so komprimiert, dass Lehrkräfte nicht hineinschreiben können.",,
O3b,O — Output / Formatierung,Beobachtungsvorlagen Exit-Ticket-Abschnitt vorhanden und spezifisch,"Die Beobachtungsvorlage enthält Exit-Ticket-Sortierbuckets mit expliziten Kriterien für jeden Bucket (z.B. wie eine ‚verstanden'-Antwort vs. ‚noch nicht'-Antwort aussieht). Bestanden = Sortierbuckets vorhanden mit spezifischen unterscheidenden Kriterien. Nicht bestanden = Exit-Ticket-Abschnitt fehlt, oder Buckets vorhanden aber ungekennzeichnet / undifferenziert.",,
O4,O — Output / Formatierung,Stundenverlauf ist prägnant und durchsuchbar,"Der Stundenverlauf nutzt klare Überschriften und die Unterrichtssequenz ist auf einen Blick findbar – eine Lehrkraft kann die nächste Aktion innerhalb von 10 Sekunden durch Durchscannen der Seite lokalisieren. Bestanden = Aktionssequenz ist visuell unterscheidbar von Begründung. Nicht bestanden = Unterrichtsschritte sind in Begründungs-Absätze eingebettet, sodass die Sequenz nicht ohne sorgfältiges Lesen findbar ist.",,
O5,O — Output / Formatierung,Mehrere fachlich passende Zugänge,"Die Basismaterialien enthalten mindestens zwei konkret benannte Zugangshilfen, die zur Zielkompetenz passen, z. B. Klärung von Fachwortschatz und Symbolen, eine zur Kompetenz passende visuelle oder handelnde Darstellung, ein Satzmuster für die geforderte Sprachhandlung oder eine Wahl zwischen gleichwertigen Darstellungsformen. Jede Hilfe erhält den Gegenstand und den Operator der zitierten Kompetenz. Bestanden = mindestens zwei Hilfen sind in den Schüler:innenmaterialien auffindbar und ihr Bezug zur Kompetenz ist erklärt. Nicht bestanden = eine Hilfe verändert die Zielkompetenz, ersetzt die geforderte Schüler:innenhandlung oder wird nur mit einem externen Gestaltungsrahmen begründet.",,
O6,O — Output / Formatierung,Lehrer- und Schüler:innenmaterialien beschreiben die gleichen Aufgaben,"Die Schüler:innen-Materialien-Aufgaben SIND die gleichen Aufgaben, die der Stundenverlauf beschreibt – gleiche Kontexte, gleiche Zahlen und Spezifitäten, gleiche Anzahl – und die Beobachtungspunkte des Beobachtungsblatts sind diejenigen, die der Stundenverlauf benennt. Richtung 1: jede Aktivität genannt im Plan hat eine entsprechende Schüler:innen-Version. Richtung 2: nichts in den Schüler:innenmaterialien ist unberücksichtigt im Plan. Alle Abweichungen auflisten; Bestanden nur wenn BEIDE Richtungen sauber sind.",,
O7,O — Output / Formatierung,Lehrer-Anpassungsbegründungsnotizen,"Der Stundenverlauf enthält eine oder zwei kurze Begründungsnotizen, die identifizieren, welche Elemente ERHALTEN bleiben müssen, um Ausrichtung und Rigor zu bewahren (Nicht-Verhandelbares wie Lehrwerksequenz, Anforderungsniveau, Diskursstruktur) und warum. Generisches Lob (‚diese Unterrichtsstunde ist gut strukturiert') zählt nicht.",,
O8,O — Output / Formatierung,Outputs sind spezifisch nicht generisch,"Missverständnisse, Beobachtungspunkte und Voraussetzungs-Bezüge sind spezifisch für den Inhalt dieser Kompetenz – ein:e Leser:in könnte sie unverändert nicht auf ein unverwandtes Thema übertragen. Der in der Kopfzeile zitierte Kompetenztext stimmt wörtlich überein, überall wo er im Text erscheint. Nicht bestanden = Boilerplate-Missverständnisse (‚Schüler:innen könnten verwirrt sein'), generische Beobachtungspunkte, oder eine Kompetenz subtil zwischen Kopfzeile und Text umformuliert.",,
O9,O — Output / Formatierung,Narrative Kohärenz über Artefakte,"Kontexte, Namen, Zahlen, Schulstufe und Zeitangaben stimmen über alle Artefakte überein. Kein Artefakt erzählt einen Kontext, ein Beispiel oder eine Aufgabe, die die anderen nicht haben. Alle Artefakte zusammen bewerten.",,
O10,O — Output / Formatierung,Keine Widersprüche über Artefakte,"Keine sich widersprechenden Zählungen, Dauern, Einheiten, Anweisungen oder Richtungen zwischen irgendwelchen zwei Artefakten. Alle Widersprüche in der Erklärung zitieren.",,
O11,O — Output / Formatierung,Stundenverlauf ist intern konsistent,"Der Plan widerspricht sich niemals über welche Aufgabe oder welcher Fall am schwierigsten ist; Diskussions- und Abschlussphasen verankern sich in dem Fall, den die Begründung als am wichtigsten identifiziert; und alle Aufgabentpen, die die Prosa verspricht (z.B. ‚Schüler:innen werden Start-Unbekannte Probleme arbeiten'), existieren tatsächlich in den Materialien. Nicht bestanden = der Plan verspricht Inhalt, der nie auftaucht, oder verschiedene Abschnitte sind sich uneins über Schwerpunkt.",,
O12,O — Output / Formatierung,Abschlussphase führt nichts Neues ein,"Jedes Konzept, Fallbeispiel oder Notation, das in der Synthese/Abschlussphase auftaucht, wurde von Schüler:innen in einer früheren Phase untersucht. Nichts taucht zum ersten Mal in der Abschlussbesprechung auf. Nicht bestanden = die Zusammenfassung führt ein Fallbeispiel, einen Begriff oder eine Repräsentation ein, die Schüler:innen nie bearbeitet haben.",,
M3,M — Modellbegleitung,Follow-up-Optionen angeboten,"Nach Bereitstellung des Stundenverlaufs bietet das Modell mindestens zwei aussagekräftige Follow-up-Optionen an (z.B. Differenzierung, Mehrsprachige-Lernende-Schicht, Österreich-spezifische Anpassung). Bestanden = zwei oder mehr spezifische Optionen. Nicht bestanden = keine, oder Optionen sind generisch (‚lass mich wissen, wenn du Änderungen möchtest').",,
M5,M — Modellbegleitung,Kein Lehrwerk-spezifisches Vokabular für Lehrkräfte ohne benanntes Lehrwerk,"Für Lehrkräfte, die nicht angeben, ein benanntes Lehrwerk zu verwenden (z. B. IM): Der Stundenverlauf enthält kein Eigentums-Vokabular eines bestimmten Programms. Bestanden = kein lehrwerkspezifisches Vokabular für Lehrkräfte ohne dieses Lehrwerk-Signal. Nicht bestanden = irgendwelche Lehrwerk-Eigentumsbegriffe erscheinen im Output für eine Lehrkraft, die dieses Lehrwerk nicht angegeben hat.",,
O13,O — Output / Formatierung,Informationsdichte,"Artefakte begünstigen Struktur über Prosa: Absätze bleiben in etwa 3 Sätzen; paralleler Inhalt (pro-Gruppe Stützungen, pro-Phase Varianten, Beobachtungspunkte) erscheint in Tabellen oder Aufzählungslisten statt gestapelter Multi-Satz-Absätze; Bullets sind Ein-Idee-Fragmente statt verketteter Klauseln. Nicht bestanden = irgendwelche Mauer-aus-Text-Absätze oder parallele Varianten als hintereinander folgende Prosa-Absätze geschrieben.",,
O14,O — Output / Formatierung,Schreibplatz passt zu Anforderung,"Jede Schüler:innen-Aufforderung, die schriftliche Arbeit verlangt (Probleme, Exit Ticket, Reflexion), wird gefolgt von sichtbarem leeren Schreibplatz proportional zur erwarteten Antwort und Schulstufe – jüngere Schüler:innen bekommen mehr Platz, Multi-Satz-Antworten bekommen großzügigen Platz, Ausfüll-Elemente bekommen eine oder zwei Zeilen. Nicht bestanden = irgendwelche Aufforderungen ohne benachbarten Schreibplatz oder Platz offensichtlich zu klein für die erwartete Antwort.",,
P10,P — Pädagogik,Kompetenz-Sparsamkeit,"Der vollständige Text der Zielkompetenz erscheint genau einmal (Kopfzeile oder Kompetenz-Callout). Voraussetzungs- und Folge-Kompetenzen werden per Code plus kurze Zusammenfassung referenziert, niemals vollständig eingefügt. Nicht bestanden = die Zielkompetenz an anderer Stelle wiederholt, oder Voraussetzungs-/Folge-Kompetenz-Text wörtlich zitiert.",,
O15,O — Output / Formatierung,Dokumentenset passt zur Unterrichtsstunde,"Das Paket enthält einen Stundenverlauf und Schüler:innenmaterialien. Schüler:innenmaterialien können fehlen, nur wenn die Unterrichtsstunde wirklich durchgehend mündlich oder lehrer:innengeleitet ist UND der Stundenverlauf das deutlich sagt (dies ist selten – im Zweifelsfall sollten Schüler:innenmaterialien existieren). Dokumente über die Standard-Menge hinaus (Stundenverlauf, Schüler:innenmaterialien, Beobachtungsvorlage) – ein Quellenpaket, ein Datenblatt – werden von einer Unterrichtsphase verwendet. Nicht bestanden = fehlende Schüler:innenmaterialien ohne explizite Begründung für eine durchgehend mündliche Stunde im Plan, oder ein Extra-Dokument, das keine Phase nutzt. Die Beobachtungsvorlage failt niemals dieses Kriterium.",,
P11-AT,P — Pädagogik,Kompetenzverankerung,"Die Zielkompetenz ist wörtlich aus dem Lehrplan 2023 oder amtlichen Bildungsstandards zitiert, mit korrekter Kompetenz-ID, RIS-Quelle mit Normenbeschreibung (NOR) und Abrufdatum angegeben. Bestanden = vollständige Kompetenz-ID vorhanden, RIS-Quelle mit NOR und Datum dokumentiert. Nicht bestanden = Kompetenz paraphrasiert, keine ID, keine RIS-Quelle oder unvollständige Quellenangabe.","Österreich-spezifisches Kriterium: stellt sicher, dass Unterrichtsmaterialien in amtlichen Lehrplanquellen verankert sind.",
P12-AT,P — Pädagogik,Progression,"Die Unterrichtsstunde respektiert das Spiralprinzip und ‚Wiederholen und Festigen'-Phasen aus dem Lehrplan. Kompetenzentwicklung zeigt explizite Verbindungen zu Voraussetzungen und Folgekompetzenzen. Bestanden = Spiralprinzip evident, vorherige und zukünftige Kompetenzen benannt und verknüpft. Nicht bestanden = lineare Anordnung ohne Wiederholung oder Festigung, keine Progressionsketten erkennbar.","Österreich-spezifisches Kriterium: berücksichtigt das Spiralprinzip im österreichischen Lehrplan.",
P13-AT,P — Pädagogik,Anwendungsbereiche,"Bindende und ‚allenfalls' nicht-bindende Inhalte sind sauber getrennt. Die Unterrichtsstunde konzentriert sich auf bindende Kompetenzen; optionale Erweiterungen sind gekennzeichnet. Bestanden = bindende vs. allenfalls-Inhalte deutlich unterschieden. Nicht bestanden = Vermischung oder Fokus auf nicht-bindende Inhalte statt auf Kernkompetenzen.","Österreich-spezifisches Kriterium: unterscheidet verbindliche und optionale Lehrinhalte.",
P14-AT,P — Pädagogik,Differenzierung,"Differenzierungsachse ist fachlich korrekt und aus dem Lehrplan selbst abgeleitet, nicht aus Lernstil-Mythologie. Bestanden = Differenzierungsachse ist inhaltlich begründet und Lehrplan-kohärent. Nicht bestanden = oberflächliche oder lernstil-basierte Differenzierung.","Österreich-spezifisches Kriterium: stellt sicher, dass Differenzierung Lehrplan-Logik folgt.",
P15-AT,P — Pädagogik,Übergreifende Themen,"Übergreifende Themen (z.B. Demokratie, Umweltbildung, Sprachliche Bildung) sind korrekt identifiziert und integriert. Bestanden = mindestens ein übergreifendes Thema ist relevant und sichtbar integriert. Nicht bestanden = übergreifende Themen fehlen oder sind unpassend.","Österreich-spezifisches Kriterium: integriert crosscurriculare Themen.",
O16-AT,O — Output / Formatierung,Dokumentintegrität,"Alle Dokumente (Stundenverlauf, Arbeitsblätter, Beobachtungsblatt) werden korrekt und vollständig angezeigt. Kein Trunkieren, Formatierungsverlust oder fehlende Seiten. Bestanden = alle Dokumente sind lesbar und vollständig. Nicht bestanden = Formatierungsfehler, abgeschnittene Inhalte oder fehlende Dokumente.","Österreich-spezifisches Kriterium: stellt sicher, dass generierte Dokumente qualitativ hochwertig sind.",
P16-AT,P — Pädagogik,Fehlvorstellungen,"Häufige Schüler:innen-Missverständnisse zu dieser Kompetenz sind kuratiert mit einer Quelle angegeben. Werden nicht-amtliche Missverständnisse eingeschlossen, müssen sie als ‚amtlich: false' gekennzeichnet sein. Bestanden = Missverständnisse mit Quelle, nicht-amtliche Einträge gekennzeichnet. Nicht bestanden = Missverständnisse ohne Quelle, oder nicht-amtliche ohne Kennzeichnung.","Österreich-spezifisches Kriterium: verbessert die Qualität der Missverständnis-Datenbank.",
O17-AT,O — Output / Formatierung,Crosswalk,"Gilt nur, wenn für das Fach überhaupt Bildungsstandards verordnet sind. Dann wird das Mapping auf Kompetenzbereich-Ebene durchgeführt, mit dokumentierter Begründung je Zuordnung. Bestanden = Mapping auf Kompetenzbereich-Niveau mit Rationale, oder – wo keine Bildungsstandards verordnet sind – die ausdrückliche, korrekte Feststellung dieses Umstands. Nicht bestanden = ein Mapping fehlt, obwohl der Datensatz für dieses Fach Bildungsstandards ausweist; oberflächliches Mapping ohne Kompetenzbereich-Bezug; oder eine unklare Begründung. Das Fehlen von Zuordnungen für ein Fach ohne verordnete Bildungsstandards – gemessen PRIM.SU, bildungsstandard_bezug: keine_verordnung – fällt niemals durch dieses Kriterium.","Österreich-spezifisches Kriterium: unterstützt Transparenz bei Standards-Alignment.",bildungsstandards-verordnet
O18-AT,O — Output / Formatierung,Herkunftstrennung,"Amtliche RIS-Inhalte sind deutlich von Lehrkraft-bereitgestellten ‚docs/'-Materialien unterschieden. Bestanden = klare Unterscheidung in Quellenangaben und Markup. Nicht bestanden = vermischte Quellen ohne Unterscheidung.","Österreich-spezifisches Kriterium: stellt sicher, dass Lehrkräfte wissen, welche Inhalte amtlich und welche selbst erarbeitet sind.",
